x,y,inside,u,v,p,speed,continuity_abs
1.479713603818615941e-01,-5.000000000000000000e-01,1.000000000000000000e+00,5.935551598668098450e-04,-5.108763277530670166e-02,-2.318127825856208801e-02,5.109108239412307739e-02,2.634583786129951477e-02
1.527446300715990524e-01,-5.000000000000000000e-01,1.000000000000000000e+00,3.873826935887336731e-04,-5.167682468891143799e-02,-2.275981381535530090e-02,5.167827755212783813e-02,2.616948261857032776e-02
1.575178997613365106e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.871706917881965637e-04,-5.225659906864166260e-02,-2.233679965138435364e-02,5.225693434476852417e-02,2.599711716175079346e-02
1.622911694510739966e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-7.140450179576873779e-06,-5.282761156558990479e-02,-2.191259339451789856e-02,5.282761156558990479e-02,2.582979574799537659e-02
1.670644391408114549e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.950142905116081238e-04,-5.338956415653228760e-02,-2.148701623082160950e-02,5.338991805911064148e-02,2.566788345575332642e-02
1.718377088305489409e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.766892477869987488e-04,-5.394257605075836182e-02,-2.106030657887458801e-02,5.394389107823371887e-02,2.551164105534553528e-02
1.766109785202863991e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-5.523441359400749207e-04,-5.448617041110992432e-02,-2.063273265957832336e-02,5.448896810412406921e-02,2.535980194807052612e-02
1.813842482100238851e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-7.226942107081413269e-04,-5.502064526081085205e-02,-2.020448818802833557e-02,5.502539128065109253e-02,2.521410584449768066e-02
1.861575178997613433e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-8.861897513270378113e-04,-5.554588139057159424e-02,-1.977558806538581848e-02,5.555295199155807495e-02,2.507496625185012817e-02
1.909307875894988293e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.043844036757946014e-03,-5.606164038181304932e-02,-1.934618130326271057e-02,5.607135593891143799e-02,2.494188025593757629e-02
1.957040572792362876e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.195418648421764374e-03,-5.656845867633819580e-02,-1.891655102372169495e-02,5.658109113574028015e-02,2.481444925069808960e-02
2.004773269689737458e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.340973190963268280e-03,-5.706574022769927979e-02,-1.848680153489112854e-02,5.708149075508117676e-02,2.469392493367195129e-02
2.052505966587112318e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.480388455092906952e-03,-5.755342543125152588e-02,-1.805688813328742981e-02,5.757246166467666626e-02,2.458012849092483521e-02
2.100238663484486901e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.613664440810680389e-03,-5.803193151950836182e-02,-1.762746647000312805e-02,5.805436149239540100e-02,2.447374537587165833e-02
2.147971360381861761e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.741397194564342499e-03,-5.850054323673248291e-02,-1.719797775149345398e-02,5.852645635604858398e-02,2.437324076890945435e-02
2.195704057279236343e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.863825134932994843e-03,-5.895967781543731689e-02,-1.676929369568824768e-02,5.898912996053695679e-02,2.428062632679939270e-02
2.243436754176611203e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.979577355086803436e-03,-5.941016972064971924e-02,-1.634093001484870911e-02,5.944314226508140564e-02,2.419530600309371948e-02
2.291169451073985786e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.089547924697399139e-03,-5.985046923160552979e-02,-1.591346040368080139e-02,5.988693609833717346e-02,2.411713823676109314e-02
2.338902147971360368e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.193975262343883514e-03,-6.028117239475250244e-02,-1.548697426915168762e-02,6.032108515501022339e-02,2.404603734612464905e-02
2.386634844868735228e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.292442135512828827e-03,-6.070245802402496338e-02,-1.506151631474494934e-02,6.074573099613189697e-02,2.398329600691795349e-02
2.434367541766109810e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.385246567428112030e-03,-6.111396849155426025e-02,-1.463729515671730042e-02,6.116049736738204956e-02,2.392731979489326477e-02
2.482100238663484670e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.473282627761363983e-03,-6.151612102985382080e-02,-1.421451196074485779e-02,6.156582012772560120e-02,2.387951314449310303e-02
2.529832935560859530e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.554404549300670624e-03,-6.190867722034454346e-02,-1.379317417740821838e-02,6.196135282516479492e-02,2.383966371417045593e-02
2.577565632458234113e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.630817703902721405e-03,-6.229133903980255127e-02,-1.337369158864021301e-02,6.234686821699142456e-02,2.380687370896339417e-02
2.625298329355608695e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.701449207961559296e-03,-6.266464293003082275e-02,-1.295551285147666931e-02,6.272284686565399170e-02,2.378246933221817017e-02
2.673031026252983278e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.766656689345836639e-03,-6.302793323993682861e-02,-1.253982260823249817e-02,6.308862566947937012e-02,2.376554533839225769e-02
2.720763723150357860e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.827393822371959686e-03,-6.338198482990264893e-02,-1.212593540549278259e-02,6.344501674175262451e-02,2.375658601522445679e-02
2.768496420047732998e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.882051281630992889e-03,-6.372602283954620361e-02,-1.171466335654258728e-02,6.379115581512451172e-02,2.375573664903640747e-02
2.816229116945107580e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.931821160018444061e-03,-6.406034529209136963e-02,-1.130508258938789368e-02,6.412740051746368408e-02,2.376230806112289429e-02
2.863961813842482163e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.976286225020885468e-03,-6.438542902469635010e-02,-1.089842244982719421e-02,6.445418298244476318e-02,2.377690002322196960e-02
2.911694510739856745e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.015804104506969452e-03,-6.470061838626861572e-02,-1.049453392624855042e-02,6.477086991071701050e-02,2.379924431443214417e-02
2.959427207637231882e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.050553612411022186e-03,-6.500603258609771729e-02,-1.009317860007286072e-02,6.507757306098937988e-02,2.382875606417655945e-02
3.007159904534606465e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.080653958022594452e-03,-6.530179083347320557e-02,-9.694796055555343628e-03,6.537441909313201904e-02,2.386619895696640015e-02
3.054892601431981047e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.105091862380504608e-03,-6.558801233768463135e-02,-9.299594908952713013e-03,6.566147506237030029e-02,2.391114830970764160e-02
3.102625298329355630e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.125715069472789764e-03,-6.586463749408721924e-02,-8.907381445169448853e-03,6.593876332044601440e-02,2.396371215581893921e-02
3.150357995226730212e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.141212277114391327e-03,-6.613172590732574463e-02,-8.518550544977188110e-03,6.620628386735916138e-02,2.402368187904357910e-02
3.198090692124105350e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.152239136397838593e-03,-6.638945639133453369e-02,-8.133027702569961548e-03,6.646425276994705200e-02,2.409080415964126587e-02
3.245823389021479932e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.158795647323131561e-03,-6.663699448108673096e-02,-7.751170545816421509e-03,6.671182066202163696e-02,2.416469901800155640e-02
3.293556085918854515e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.161120228469371796e-03,-6.687523424625396729e-02,-7.372822612524032593e-03,6.694990396499633789e-02,2.424585446715354919e-02
3.341288782816229097e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.159451298415660858e-03,-6.710399687290191650e-02,-6.998304277658462524e-03,6.717833131551742554e-02,2.433350309729576111e-02
3.389021479713604235e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.153550438582897186e-03,-6.732340157032012939e-02,-6.627570837736129761e-03,6.739722192287445068e-02,2.442811802029609680e-02
3.436754176610978817e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.143238835036754608e-03,-6.753309071063995361e-02,-6.260957568883895874e-03,6.760620325803756714e-02,2.452958002686500549e-02
3.484486873508353399e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.129052929580211639e-03,-6.773366034030914307e-02,-5.898263305425643921e-03,6.780589371919631958e-02,2.463765442371368408e-02
3.532219570405727982e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.111171536147594452e-03,-6.792469322681427002e-02,-5.539853125810623169e-03,6.799590587615966797e-02,2.475120499730110168e-02
3.579952267303102564e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.089415840804576874e-03,-6.810601055622100830e-02,-5.185570567846298218e-03,6.817604601383209229e-02,2.487128973007202148e-02
3.627684964200477702e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.064381889998912811e-03,-6.827820837497711182e-02,-4.835765808820724487e-03,6.834693998098373413e-02,2.499702945351600647e-02
3.675417661097852284e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.035056404769420624e-03,-6.844116747379302979e-02,-4.490401595830917358e-03,6.850843131542205811e-02,2.512853220105171204e-02
3.723150357995226867e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.002631478011608124e-03,-6.859500706195831299e-02,-4.149522632360458374e-03,6.866069138050079346e-02,2.526553347706794739e-02
3.770883054892601449e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.967285923659801483e-03,-6.873972713947296143e-02,-3.813412040472030640e-03,6.880374252796173096e-02,2.540774270892143250e-02
3.818615751789976587e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.928483299911022186e-03,-6.887491047382354736e-02,-3.481987863779067993e-03,6.893714517354965210e-02,2.555477246642112732e-02
3.866348448687351169e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.886104397475719452e-03,-6.900091469287872314e-02,-3.155495971441268921e-03,6.906124949455261230e-02,2.570748329162597656e-02
3.914081145584725752e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.840983681380748749e-03,-6.911815702915191650e-02,-2.833750098943710327e-03,6.917651742696762085e-02,2.586379274725914001e-02
3.961813842482100334e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.792942337691783905e-03,-6.922616064548492432e-02,-2.516884356737136841e-03,6.928247958421707153e-02,2.602490410208702087e-02
4.009546539379474916e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.741980366408824921e-03,-6.932528316974639893e-02,-2.205003052949905396e-03,6.937948614358901978e-02,2.618899941444396973e-02
4.057279236276850054e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.688276581466197968e-03,-6.941552460193634033e-02,-1.898210495710372925e-03,6.946755945682525635e-02,2.635858952999114990e-02
4.105011933174224636e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.632129006087779999e-03,-6.949682533740997314e-02,-1.596774905920028687e-03,6.954665482044219971e-02,2.653105929493904114e-02
4.152744630071599219e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.573239617049694061e-03,-6.956918537616729736e-02,-1.300539821386337280e-03,6.961675733327865601e-02,2.670726552605628967e-02
4.200477326968973801e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.512144856154918671e-03,-6.963320076465606689e-02,-1.009318977594375610e-03,6.967850029468536377e-02,2.688623219728469849e-02
4.248210023866348384e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.448308281600475311e-03,-6.968839466571807861e-02,-7.237829267978668213e-04,6.973138451576232910e-02,2.706829085946083069e-02
4.295942720763723521e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.382981590926647186e-03,-6.973500549793243408e-02,-4.431940615177154541e-04,6.977570801973342896e-02,2.725201472640037537e-02
4.343675417661098104e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.315151505172252655e-03,-6.977303326129913330e-02,-1.684464514255523682e-04,6.981142610311508179e-02,2.743918448686599731e-02
4.391408114558472686e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.245712094008922577e-03,-6.980259716510772705e-02,1.009814441204071045e-04,6.983871012926101685e-02,2.762721851468086243e-02
4.439140811455847269e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.174186520278453827e-03,-6.982375681400299072e-02,3.647841513156890869e-04,6.985759735107421875e-02,2.781822532415390015e-02
4.486873508353222406e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.100634388625621796e-03,-6.983681023120880127e-02,6.231553852558135986e-04,6.986839324235916138e-02,2.801060304045677185e-02
4.534606205250596989e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.025890164077281952e-03,-6.984104216098785400e-02,8.760206401348114014e-04,6.987041980028152466e-02,2.820369787514209747e-02
4.582338902147971571e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.949357800185680389e-03,-6.983740627765655518e-02,1.123350113630294800e-03,6.986460834741592407e-02,2.839818224310874939e-02
4.630071599045346153e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.871156506240367889e-03,-6.982596218585968018e-02,1.364920288324356079e-03,6.985103338956832886e-02,2.859322540462017059e-02
4.677804295942720736e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.791822724044322968e-03,-6.980563700199127197e-02,1.600477844476699829e-03,6.982862949371337891e-02,2.878879569470882416e-02
4.725536992840095873e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.711416058242321014e-03,-6.977833807468414307e-02,1.830745488405227661e-03,6.979931890964508057e-02,2.898398227989673615e-02
4.773269689737470456e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.629340462386608124e-03,-6.974263489246368408e-02,2.054970711469650269e-03,6.976166367530822754e-02,2.917947620153427124e-02
4.821002386634845038e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.546549610793590546e-03,-6.969954073429107666e-02,2.273563295602798462e-03,6.971669197082519531e-02,2.937461808323860168e-02
4.868735083532219621e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.462685875594615936e-03,-6.964851915836334229e-02,2.486493438482284546e-03,6.966387480497360229e-02,2.956909127533435822e-02
4.916467780429594758e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.378285698592662811e-03,-6.958968937397003174e-02,2.693463116884231567e-03,6.960333883762359619e-02,2.976264432072639465e-02
4.964200477326969341e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.292693428695201874e-03,-6.952382624149322510e-02,2.894837409257888794e-03,6.953584402799606323e-02,2.995495498180389404e-02
5.011933174224343368e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.206445507705211639e-03,-6.944991648197174072e-02,3.090392798185348511e-03,6.946039199829101562e-02,3.014586865901947021e-02
5.059665871121719061e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.120197586715221405e-03,-6.936891376972198486e-02,3.280285745859146118e-03,6.937795877456665039e-02,3.033527731895446777e-02
5.107398568019093643e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.032757572829723358e-03,-6.928075850009918213e-02,3.464262932538986206e-03,6.928845494985580444e-02,3.052271902561187744e-02
